ID,Block,Trial,Pic1,Pic2
120444,2,4,25B56,25BG56
120444,2,5,75BG56,25B56
120444,2,6,25B56,75BG56
120446,1,1,25B56,25BG56
120446,1,2,25BG56,75G56
120446,1,3,75BG56,25B56
120446,1,4,75G56,25BG56
120446,1,5,25BG56,25B56
120446,1,6,25B56,75BG56
120446,2,1,25BG56,75G56
120446,2,2,25B56,25BG56
120446,2,3,75G56,25BG56
120446,2,4,75BG56,25B56
120446,2,5,25B56,75BG56
120446,2,6,25BG56,25B56
160416,1,1,75G56,25BG56
160416,1,2,25BG56,25B56
160416,1,3,25BG56,75G56
160416,1,4,25B56,25BG56
160416,1,5,25B56,75BG56
160416,1,6,75BG56,25B56
160416,2,1,75G56,25BG56
160416,2,2,75BG56,25B56
160416,2,3,25B56,25BG56
160416,2,4,25B56,75BG56
160416,2,5,25BG56,25B56
160416,2,6,25BG56,75G56
190054,1,1,75G56,25BG56
190054,1,2,75BG56,25B56
190054,1,3,25BG56,25B56
190054,1,4,25B56,25BG56
190054,1,5,25B56,75BG56
190054,1,6,25BG56,75G56
190054,2,1,75G56,25BG56
190054,2,2,75BG56,25B56
190054,2,3,25B56,25BG56
190054,2,4,25BG56,25B56
190055,1,1,75G56,25BG56
190055,1,2,25B56,75BG56
190055,1,3,75BG56,25B56
190055,1,4,25BG56,25B56
190055,1,5,25B56,25BG56
190055,1,6,25BG56,75G56
190057,1,1,25B56,25BG56
190057,1,2,25B56,75BG56
190057,1,3,25BG56,75G56
190057,1,4,75BG56,25B56
190057,1,5,75G56,25BG56
190057,1,6,25BG56,25B56
190061,1,1,25BG56,75G56
190061,1,2,25B56,75BG56
190061,1,3,75BG56,25B56
190061,1,4,75G56,25BG56
190061,1,5,25BG56,25B56
190061,1,6,25B56,25BG56
190061,2,1,25B56,75BG56
190061,2,2,25BG56,75G56
190061,2,3,25B56,25BG56
190061,2,4,75BG56,25B56
190063,1,1,25BG56,75G56
190063,1,2,25BG56,25B56
190063,1,3,75BG56,25B56
190063,1,4,25B56,75BG56
190063,1,5,75G56,25BG56
190063,1,6,25B56,25BG56
190063,2,1,25BG56,75G56
190063,2,2,75G56,25BG56
190063,2,3,25BG56,25B56
190063,2,4,25B56,75BG56
190063,2,5,75BG56,25B56
190063,2,6,25B56,25BG56
190065,1,1,75BG56,25B56
190065,1,2,75G56,25BG56
190065,1,3,25B56,25BG56
190065,1,4,25BG56,25B56
190065,1,5,25B56,75BG56
190065,1,6,25BG56,75G56
190065,2,1,25BG56,25B56
190067,1,1,75BG56,25B56
190067,1,2,25B56,25BG56
190067,1,3,75G56,25BG56
190067,1,4,25B56,75BG56
190067,1,5,25BG56,25B56
190067,1,6,25BG56,75G56
190067,2,1,25B56,75BG56
190067,2,2,75G56,25BG56
190069,1,1,25BG56,75G56
190069,1,2,25B56,75BG56
190069,1,3,25BG56,25B56
190071,1,1,75G56,25BG56
190071,1,2,25B56,75BG56
190071,1,3,75BG56,25B56
190071,1,4,25BG56,75G56
190071,1,5,25B56,25BG56
190071,1,6,25BG56,25B56
190071,2,1,25BG56,25B56
190071,2,2,75BG56,25B56
190073,1,1,75BG56,25B56
190073,1,2,75G56,25BG56
190073,1,3,25B56,25BG56
190073,1,4,25B56,75BG56
190073,1,5,25BG56,75G56
190073,1,6,25BG56,25B56
190075,1,1,25B56,75BG56
190075,1,2,25BG56,75G56
190075,1,3,25BG56,25B56
190075,1,4,75G56,25BG56
190075,1,5,25B56,25BG56
190075,1,6,75BG56,25B56
190075,2,1,75BG56,25B56
190075,2,2,25B56,75BG56
190075,2,3,25B56,25BG56
190077,1,1,75G56,25BG56
190077,1,2,25B56,25BG56
190077,1,3,75BG56,25B56
190077,1,4,25BG56,75G56
190077,1,5,25BG56,25B56
190077,1,6,25B56,75BG56
